"","ave.syn","ave.nonsyn","ave.syn.se","ave.nonsyn.se","CpG.ave","CpG.ns.ave","CpG.ave.se","CpG.ns.ave.se","nonCpG.ave","nonCpG.ns.ave","nonCpG.ave.se","nonCpG.ns.ave.se"
"A",0.000735105688221497,0.00266628610717405,0.000325650430423707,0.00127578579650781,0.000351508703957326,0.000708125723819103,0.000263833112813039,0.000263833112813039,0.000769819734531891,0.00287885546577614,0.000352630856908092,0.000352630856908092
"T",0.00152149579251848,0.000452521873769521,0.000887551604150339,0.000269770295555053,0.000609312041033135,0.000149756522117055,0.000463245178928143,0.000463245178928143,0.00162819387097562,0.000467567801050966,0.000986444979530591,0.000986444979530591
"C",0.00271672175382626,0.00126846554307096,0.00235902399823134,0.000895526103174336,0.00365221159972595,0.00227115728788301,0.00329035469391402,0.00329035469391402,0.000389984402877279,0.000201677778442656,0.000331700273868194,0.000331700273868194
"G",0.0077894152137148,0.00610009792007429,0.00604273108491385,0.00271742664424141,0.00206005148472253,0.000740509222437337,NA,NA,0.00830301782651498,0.00651731142383569,0.00656706406600853,0.00656706406600853
